Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80684I99900KS,Intel,Core i9-9900KS,1,103,6263,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070110900K,Intel,Core i9-10900K,2,103,2280,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070110900KF,Intel,Core i9-10900KF,3,102,69,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,BX8070110700K,Intel,Core i7-10700K,4,99.6,7552,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX8070110900F,Intel,Core i9-10900F,5,99.4,49,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,,Intel,Core i9-10900,6,99.3,268,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,BX80684I99900KF,Intel,Core i9-9900KF,7,99.2,9605,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,8,99.1,202260,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX8070110700KF,Intel,Core i7-10700KF,9,99.1,31,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX80684I79700KF,Intel,Core i7-9700KF,10,98.6,10748,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,BX80684I99900K,Intel,Core i9-9900K,11,98.2,186041,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX8070110600K,Intel,Core i5-10600K,12,96.7,1273,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,BX8070110600KF,Intel,Core i5-10600KF,13,96.6,5,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,BX8070110700F,Intel,Core i7-10700F,14,96.5,40,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX8070110700,Intel,Core i7-10700,15,96.1,1931,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
