Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,112,390,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,107,628,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),3,104,430,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FZWX,WD,Black 6TB (2016),4,100,4175,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),5,100,657,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,6,97.7,1147,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,7,96.4,5108,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),8,96.1,170,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,0S03839,HGST,Deskstar NAS 6TB,9,95,692,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,WD6001FZWX,WD,Black 6TB (2015),10,94.8,3573,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),11,94.6,57930,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),12,93.4,7498,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,13,93.3,280,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,WD4004FZWX,WD,Black 4TB (2016),14,93.3,8101,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),15,92.7,312181,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,WD100EFAX,WD,Red 10TB (2017),16,92.4,858,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),17,92.3,535827,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,18,92.2,539,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,18,92.2,539,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,ST3000VX000,Seagate,Video SV35.6 Series 3TB,19,91.9,3686,https://hdd.userbenchmark.com/SpeedTest/4903/ST3000VX000-9YW166
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,20,91.5,5637,https://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0
HDD,WD2005FBYZ,WD,Gold 2TB (2016),21,91.3,2852,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
HDD,WD4002FYYZ,WD,Gold 4TB (2016),22,91.1,3023,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,23,90.6,64,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,ST2000DM008,Seagate,Barracuda 2TB (2018),24,90.6,144806,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,25,90.5,7089,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816
HDD,HDWE150XZSTA,Toshiba,X300 5TB,26,90.5,5706,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE150EZSTA,Toshiba,X300 5TB,26,90.5,5706,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,ST5000DM002,Seagate,Desktop HDD 5TB (2015),27,90.2,202,https://hdd.userbenchmark.com/SpeedTest/123827/ST5000DM002-1XY17X
HDD,ST6000DM001,Seagate,Desktop HDD 6TB (2015),28,90,626,https://hdd.userbenchmark.com/SpeedTest/36984/ST6000DM001-1XY17Z
HDD,ST6000DX000,Seagate,Desktop HDD 6TB (2014),29,89.7,839,https://hdd.userbenchmark.com/SpeedTest/12188/ST6000DX000-1H217Z
HDD,ST3000DM001,Seagate,Barracuda 7200.14 3TB,30,89.6,144715,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374
HDD,ST4000VX007,Seagate,SkyHawk 4TB (2016),31,89.5,3192,https://hdd.userbenchmark.com/SpeedTest/215593/ST4000VX007-2DT166
HDD,WD80EFAX,WD,Red 8TB (2017),32,89.1,2293,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0
HDD,HDWD120XZSTA,Toshiba,P300 2TB,33,88.7,55779,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120EZSTA,Toshiba,P300 2TB,33,88.7,55779,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120UZSVA,Toshiba,P300 2TB,33,88.7,55779,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,ST2000DM001,Seagate,Barracuda 7200.14 2TB,34,88.4,539891,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-2TB/Rating/1619
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,35,87.9,987307,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,WD5001FZWX,WD,Black 5TB (2015),36,87.9,4784,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,WD1005FBYZ,WD,Gold 1TB (2016),37,87.9,1968,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,HDWD130XZSTA,Toshiba,P300 3TB,38,87.8,35306,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130EZSTA,Toshiba,P300 3TB,38,87.8,35306,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130UZSVA,Toshiba,P300 3TB,38,87.8,35306,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
